root_id,Dm2-IN,MeTu4a-IN,MTe01a-IN,Sm08-OUT,Sm43-IN,Sm14-IN,LTe22-OUT,Li12-OUT,MC65-IN,LT55-OUT,candidate_type
720575940624728551,0,3,0,0,0,0,0,0,2,0,MeTu4e
720575940615080367,0,8,0,0,0,1,0,2,5,0,MeTu4e
720575940633176111,0,12,0,0,0,5,0,0,4,0,MeTu4e
720575940623115433,0,2,1,0,1,4,0,0,0,0,MeTu4e
720575940628801900,0,60,0,0,1,13,1,9,45,0,MeTu4e
720575940617311574,0,0,0,0,1,3,0,2,0,0,MeTu4e
720575940620577974,1,33,4,0,1,17,2,17,54,2,MeTu4e
720575940631366351,1,5,0,0,0,2,1,4,5,1,MeTu4e
720575940605476994,1,2,8,0,1,0,1,0,2,4,MeTu4e
720575940615364305,1,31,0,0,1,1,1,1,0,0,MeTu4e
720575940620927472,2,6,0,0,1,2,2,4,1,0,MeTu4e
720575940630619985,5,21,1,0,2,1,1,7,20,0,MeTu4e
720575940623175182,6,30,2,0,1,0,1,11,27,0,MeTu4e
720575940608756600,6,34,0,0,1,2,1,13,48,0,MeTu4e
720575940613496293,2,1,5,1,3,2,3,0,0,0,MeTu4e
720575940632798177,2,2,15,2,0,0,1,1,9,0,MeTu4e
720575940643890888,2,2,1,3,2,0,0,0,0,0,MeTu4e
720575940630765047,2,1,2,3,2,0,0,0,0,0,MeTu4e
720575940610765380,3,15,25,4,10,1,15,1,0,16,MeTu4a
720575940631346895,5,3,10,4,2,0,0,1,1,1,MeTu4e
720575940615035432,3,3,5,6,3,0,3,1,0,2,MeTu4e
720575940618761044,4,10,30,7,10,1,10,0,0,18,MeTu4a
720575940630692412,5,19,30,7,10,3,8,0,0,21,MeTu4a
720575940630483564,7,12,16,7,18,2,11,1,0,6,MeTu4a
720575940623425543,0,2,10,8,10,0,4,0,0,2,MeTu4a
720575940628100395,24,5,21,10,17,2,7,0,0,1,MeTu4a
720575940632085900,7,5,25,11,26,4,3,0,0,1,MeTu4a
720575940627305212,1,1,8,14,3,0,1,0,0,0,MeTu4e
720575940619279064,20,3,16,15,35,20,7,0,0,0,MeTu4a
720575940613977503,35,2,18,15,16,3,3,0,3,0,MeTu4a
720575940624585725,9,10,19,17,19,5,24,1,0,14,MeTu4a
720575940632952986,50,4,25,17,18,0,2,1,8,3,MeTu4a
720575940639904565,19,2,25,18,20,2,3,0,0,2,MeTu4a
720575940623987214,41,4,19,18,28,1,6,0,4,5,MeTu4a
720575940616290004,31,9,19,19,22,2,17,2,0,3,MeTu4a
720575940632035882,26,8,25,20,24,2,14,0,0,6,MeTu4a
720575940622781865,13,1,23,22,31,1,26,0,0,0,MeTu4a
720575940612948593,13,2,10,22,8,3,5,1,6,4,MeTu4a
720575940625622018,29,4,27,22,21,3,7,3,5,0,MeTu4a
720575940625230323,31,2,16,22,18,2,8,0,0,0,MeTu4a
720575940622112183,43,4,31,22,8,0,0,1,4,1,MeTu4a
720575940614421471,26,5,16,23,17,1,2,2,7,1,MeTu4a
720575940610238418,45,8,24,24,21,0,4,0,2,0,MeTu4a
720575940625237396,28,3,19,25,17,1,4,2,7,3,MeTu4a
720575940632669666,38,6,24,25,19,0,2,0,4,0,MeTu4a
720575940607630172,41,2,32,27,18,1,13,1,4,8,MeTu4a
720575940610809061,59,8,14,27,10,2,6,0,1,1,MeTu4a
720575940613072382,20,6,19,28,26,0,9,0,0,0,MeTu4a
720575940633929908,24,4,19,28,12,1,21,2,0,5,MeTu4a
720575940631634975,33,9,36,28,28,5,12,0,0,1,MeTu4a
720575940624370765,31,10,21,30,18,8,8,2,0,7,MeTu4a
720575940632293262,35,6,23,31,12,0,4,1,4,2,MeTu4a
720575940625067312,36,6,20,31,25,6,12,2,2,9,MeTu4a
720575940631170809,56,5,15,33,9,0,10,2,6,5,MeTu4a
720575940626797841,31,7,14,34,20,2,11,0,0,1,MeTu4a
720575940650581625,45,10,28,34,17,1,15,1,0,8,MeTu4a
720575940648817017,24,7,28,38,18,2,11,5,0,3,MeTu4a
720575940613681662,35,7,36,39,25,5,6,0,0,15,MeTu4a
720575940610804453,22,2,4,41,9,3,8,1,0,4,MeTu4a
720575940623343613,34,2,31,49,46,4,7,2,0,7,MeTu4a