id,Round,edits
720575940604304742,round1_edits,10
720575940604345632,round1_edits,6
720575940604885792,round1_edits,9
720575940605791422,round1_edits,17
720575940606040352,round1_edits,8
720575940607245186,round1_edits,6
720575940607582729,round1_edits,2
720575940607603548,round1_edits,2
720575940607630172,round1_edits,3
720575940611063921,round1_edits,9
720575940611335666,round1_edits,8
720575940611532458,round1_edits,25
720575940611700430,round1_edits,10
720575940612646883,round1_edits,7
720575940613218418,round1_edits,4
720575940613681662,round1_edits,5
720575940613692414,round1_edits,6
720575940613735934,round1_edits,3
720575940613764862,round1_edits,8
720575940614282705,round1_edits,2
720575940614421471,round1_edits,6
720575940614499634,round1_edits,8
720575940615406698,round1_edits,7
720575940616021899,round1_edits,15
720575940616445638,round1_edits,3
720575940617087718,round1_edits,7
720575940617282117,round1_edits,10
720575940617283101,round1_edits,13
720575940617311574,round1_edits,100
720575940617979682,round1_edits,30
720575940618543445,round1_edits,8
720575940618639105,round1_edits,8
720575940619442113,round1_edits,16
720575940619768923,round1_edits,7
720575940619883758,round1_edits,11
720575940620019265,round1_edits,8
720575940620151873,round1_edits,5
720575940620275565,round1_edits,14
720575940620345429,round1_edits,6
720575940620465524,round1_edits,8
720575940620510657,round1_edits,13
720575940620605099,round1_edits,71
720575940620650661,round1_edits,5
720575940620658928,round1_edits,10
720575940620785030,round1_edits,8
720575940620883956,round1_edits,38
720575940621116353,round1_edits,25
720575940621250651,round1_edits,14
720575940621299369,round1_edits,11
720575940621487180,round1_edits,6
720575940621529309,round1_edits,7
720575940621608406,round1_edits,10
720575940621609430,round1_edits,13
720575940621610572,round1_edits,1
720575940622287228,round1_edits,30
720575940622449407,round1_edits,1
720575940622541252,round1_edits,22
720575940622814588,round1_edits,13
720575940622860314,round1_edits,20
720575940623262025,round1_edits,0
720575940623343613,round1_edits,11
720575940623634570,round1_edits,8
720575940623886055,round1_edits,4
720575940623958271,round1_edits,7
720575940624030990,round1_edits,7
720575940624063420,round1_edits,4
720575940624085944,round1_edits,7
720575940624169653,round1_edits,38
720575940624529229,round1_edits,5
720575940624739472,round1_edits,5
720575940624742032,round1_edits,7
720575940625622018,round1_edits,8
720575940625622274,round1_edits,14
720575940625796622,round1_edits,27
720575940626194718,round1_edits,0
720575940626354057,round1_edits,5
720575940626557065,round1_edits,13
720575940626711358,round1_edits,4
720575940628100395,round1_edits,15
720575940628221456,round1_edits,5
720575940628321284,round1_edits,4
720575940628450503,round1_edits,102
720575940628706280,round1_edits,3
720575940628784762,round1_edits,13
720575940628787815,round1_edits,4
720575940629254204,round1_edits,10
720575940629386496,round1_edits,11
720575940629421879,round1_edits,7
720575940629443543,round1_edits,6
720575940629756524,round1_edits,12
720575940630692412,round1_edits,9
720575940631066875,round1_edits,62
720575940631232249,round1_edits,4
720575940631421231,round1_edits,10
720575940631479460,round1_edits,16
720575940631634975,round1_edits,7
720575940631709900,round1_edits,7
720575940632461196,round1_edits,9
720575940632669666,round1_edits,5
720575940632798177,round1_edits,1
720575940633261267,round1_edits,6
720575940633871315,round1_edits,46
720575940634151348,round1_edits,1
720575940634745780,round1_edits,3
720575940635176032,round1_edits,24
720575940635404919,round1_edits,3
720575940636083380,round1_edits,8
720575940637478234,round1_edits,7
720575940638825193,round1_edits,5
720575940639872821,round1_edits,21
720575940647352196,round1_edits,6
720575940655346337,round1_edits,6
720575940660579201,round1_edits,10
720575940604304742,round2_edits,40
720575940604345632,round2_edits,7
720575940604885792,round2_edits,82
720575940605791422,round2_edits,27
720575940606040352,round2_edits,9
720575940607245186,round2_edits,17
720575940607582729,round2_edits,30
720575940607603548,round2_edits,34
720575940607630172,round2_edits,13
720575940611063921,round2_edits,7
720575940611335666,round2_edits,7
720575940611532458,round2_edits,12
720575940611700430,round2_edits,7
720575940612646883,round2_edits,51
720575940613218418,round2_edits,32
720575940613681662,round2_edits,35
720575940613692414,round2_edits,28
720575940613735934,round2_edits,35
720575940613764862,round2_edits,27
720575940614282705,round2_edits,36
720575940614421471,round2_edits,31
720575940614499634,round2_edits,17
720575940615406698,round2_edits,41
720575940616021899,round2_edits,61
720575940616445638,round2_edits,28
720575940617087718,round2_edits,15
720575940617282117,round2_edits,34
720575940617283101,round2_edits,7
720575940617311574,round2_edits,28
720575940617979682,round2_edits,30
720575940618543445,round2_edits,12
720575940618639105,round2_edits,10
720575940619442113,round2_edits,68
720575940619768923,round2_edits,15
720575940619883758,round2_edits,40
720575940620019265,round2_edits,80
720575940620151873,round2_edits,8
720575940620275565,round2_edits,77
720575940620345429,round2_edits,26
720575940620465524,round2_edits,40
720575940620510657,round2_edits,36
720575940620605099,round2_edits,13
720575940620650661,round2_edits,1
720575940620658928,round2_edits,36
720575940620785030,round2_edits,11
720575940620883956,round2_edits,41
720575940621116353,round2_edits,30
720575940621250651,round2_edits,91
720575940621299369,round2_edits,9
720575940621487180,round2_edits,9
720575940621529309,round2_edits,40
720575940621608406,round2_edits,3
720575940621609430,round2_edits,38
720575940621610572,round2_edits,47
720575940622287228,round2_edits,34
720575940622449407,round2_edits,8
720575940622541252,round2_edits,14
720575940622814588,round2_edits,19
720575940622860314,round2_edits,12
720575940623262025,round2_edits,10
720575940623343613,round2_edits,41
720575940623634570,round2_edits,7
720575940623886055,round2_edits,7
720575940623958271,round2_edits,11
720575940624030990,round2_edits,55
720575940624063420,round2_edits,35
720575940624085944,round2_edits,44
720575940624169653,round2_edits,62
720575940624529229,round2_edits,38
720575940624739472,round2_edits,44
720575940624742032,round2_edits,13
720575940625622018,round2_edits,33
720575940625622274,round2_edits,51
720575940625796622,round2_edits,61
720575940626194718,round2_edits,63
720575940626354057,round2_edits,3
720575940626557065,round2_edits,34
720575940626711358,round2_edits,22
720575940628100395,round2_edits,9
720575940628221456,round2_edits,9
720575940628321284,round2_edits,24
720575940628450503,round2_edits,54
720575940628706280,round2_edits,8
720575940628784762,round2_edits,46
720575940628787815,round2_edits,64
720575940629254204,round2_edits,14
720575940629386496,round2_edits,78
720575940629421879,round2_edits,7
720575940629443543,round2_edits,7
720575940629756524,round2_edits,109
720575940630692412,round2_edits,31
720575940631066875,round2_edits,33
720575940631232249,round2_edits,9
720575940631421231,round2_edits,28
720575940631479460,round2_edits,46
720575940631634975,round2_edits,20
720575940631709900,round2_edits,25
720575940632461196,round2_edits,37
720575940632669666,round2_edits,26
720575940632798177,round2_edits,28
720575940633261267,round2_edits,8
720575940633871315,round2_edits,38
720575940634151348,round2_edits,17
720575940634745780,round2_edits,8
720575940635176032,round2_edits,29
720575940635404919,round2_edits,24
720575940636083380,round2_edits,45
720575940637478234,round2_edits,59
720575940638825193,round2_edits,20
720575940639872821,round2_edits,30
720575940647352196,round2_edits,18
720575940655346337,round2_edits,18
720575940660579201,round2_edits,9
720575940604304742,round3_edits,31
720575940604345632,round3_edits,23
720575940604885792,round3_edits,10
720575940605791422,round3_edits,0
720575940606040352,round3_edits,9
720575940607245186,round3_edits,7
720575940607582729,round3_edits,14
720575940607603548,round3_edits,50
720575940607630172,round3_edits,55
720575940611063921,round3_edits,6
720575940611335666,round3_edits,6
720575940611532458,round3_edits,17
720575940611700430,round3_edits,19
720575940612646883,round3_edits,84
720575940613218418,round3_edits,22
720575940613681662,round3_edits,14
720575940613692414,round3_edits,10
720575940613735934,round3_edits,4
720575940613764862,round3_edits,47
720575940614282705,round3_edits,5
720575940614421471,round3_edits,10
720575940614499634,round3_edits,38
720575940615406698,round3_edits,77
720575940616021899,round3_edits,7
720575940616445638,round3_edits,15
720575940617087718,round3_edits,12
720575940617282117,round3_edits,8
720575940617283101,round3_edits,6
720575940617311574,round3_edits,1
720575940617979682,round3_edits,9
720575940618543445,round3_edits,42
720575940618639105,round3_edits,31
720575940619442113,round3_edits,6
720575940619768923,round3_edits,9
720575940619883758,round3_edits,25
720575940620019265,round3_edits,20
720575940620151873,round3_edits,40
720575940620275565,round3_edits,18
720575940620345429,round3_edits,17
720575940620465524,round3_edits,34
720575940620510657,round3_edits,47
720575940620605099,round3_edits,1
720575940620650661,round3_edits,10
720575940620658928,round3_edits,6
720575940620785030,round3_edits,6
720575940620883956,round3_edits,34
720575940621116353,round3_edits,8
720575940621250651,round3_edits,18
720575940621299369,round3_edits,6
720575940621487180,round3_edits,9
720575940621529309,round3_edits,9
720575940621608406,round3_edits,7
720575940621609430,round3_edits,13
720575940621610572,round3_edits,14
720575940622287228,round3_edits,45
720575940622449407,round3_edits,3
720575940622541252,round3_edits,0
720575940622814588,round3_edits,0
720575940622860314,round3_edits,16
720575940623262025,round3_edits,25
720575940623343613,round3_edits,34
720575940623634570,round3_edits,26
720575940623886055,round3_edits,4
720575940623958271,round3_edits,11
720575940624030990,round3_edits,10
720575940624063420,round3_edits,21
720575940624085944,round3_edits,11
720575940624169653,round3_edits,40
720575940624529229,round3_edits,13
720575940624739472,round3_edits,9
720575940624742032,round3_edits,11
720575940625622018,round3_edits,12
720575940625622274,round3_edits,4
720575940625796622,round3_edits,23
720575940626194718,round3_edits,10
720575940626354057,round3_edits,29
720575940626557065,round3_edits,30
720575940626711358,round3_edits,15
720575940628100395,round3_edits,70
720575940628221456,round3_edits,28
720575940628321284,round3_edits,8
720575940628450503,round3_edits,1
720575940628706280,round3_edits,18
720575940628784762,round3_edits,2
720575940628787815,round3_edits,4
720575940629254204,round3_edits,12
720575940629386496,round3_edits,8
720575940629421879,round3_edits,5
720575940629443543,round3_edits,7
720575940629756524,round3_edits,12
720575940630692412,round3_edits,10
720575940631066875,round3_edits,4
720575940631232249,round3_edits,13
720575940631421231,round3_edits,16
720575940631479460,round3_edits,5
720575940631634975,round3_edits,30
720575940631709900,round3_edits,15
720575940632461196,round3_edits,27
720575940632669666,round3_edits,53
720575940632798177,round3_edits,29
720575940633261267,round3_edits,1
720575940633871315,round3_edits,84
720575940634151348,round3_edits,33
720575940634745780,round3_edits,10
720575940635176032,round3_edits,9
720575940635404919,round3_edits,2
720575940636083380,round3_edits,5
720575940637478234,round3_edits,15
720575940638825193,round3_edits,29
720575940639872821,round3_edits,40
720575940647352196,round3_edits,16
720575940655346337,round3_edits,13
720575940660579201,round3_edits,55
