Coordinate 1,Coordinate 2,Ellipsoid Dimensions,Tags,Description,Segment IDs,Parent ID,Type,ID
"(103163, 40086, 2626)",,,,,,,Point,
"(103120, 40043, 1726)",,,,,,,Point,
"(88340, 37872, 2751)",,,,,,,Point,
"(94800, 33231, 2678)",,,,,,,Point,
"(99545, 33540, 2678)",,,,,,,Point,
"(103832, 38026, 2580)",,,,,,,Point,
"(97203, 38868, 3154)",,,,,,,Point,
"(94128, 46494, 2644)",,,,,,,Point,
"(87878, 41984, 2694)",,,,,,,Point,
"(92862, 40519, 3147)",,,,,,,Point,
"(97602, 35132, 2222)",,,,,,,Point,
"(98564, 40717, 2923)",,,,,,,Point,
"(100726, 42015, 2749)",,,,,,,Point,
"(104444, 43974, 2153)",,,,,,,Point,
"(102483, 44054, 2122)",,,,,,,Point,
"(102710, 44198, 2354)",,,,,,,Point,
"(90057, 39415, 2307)",,,,,,,Point,
"(101760, 37014, 2888)",,,,,,,Point,
"(92420, 37900, 3049)",,,,,,,Point,
"(104690, 40564, 2549)",,,,,,,Point,